plot,depth1,depth2,P_AL.mg_100g-1,K_AL.mg_100g-1,Mg_AL.mg_100g-1,Ca_AL.mg_100g-1
2,10_15,15_20,8.45932070768842,16.0394368775761,26.3992255546802,131.376274371155
3,10_15,15_20,6.53974538682066,14.9285781115731,21.481657349394,113.364238450183
4,10_15,15_20,7.21234332667954,17.3120091501832,26.394521322349,127.551765987997
5,10_15,15_20,7.56460477981948,14.8541690044502,22.1301607908016,121.279322679945
6,10_15,15_20,4.16542324539366,11.9145256195763,17.0223849440347,105.680775938738
7,10_15,15_20,9.3663445817815,14.8992705611291,26.4836269711414,128.234596509505
8,10_15,15_20,6.96912470786268,14.6341159865159,24.4679770159842,124.369404517014
9,10_15,15_20,6.40856389295878,15.3932591502669,20.560952903237,114.59974561774
10,10_15,15_20,4.8935846080099,16.0130865044329,22.1089106630446,117.51195369284
11,10_15,15_20,5.99847134807338,15.4052680323341,22.5901407600262,120.346381159723
12,10_15,15_20,6.10609980556792,17.2143845102465,17.1511411589071,105.261524740611
13,10_15,15_20,9.46599713581908,6.74540240203992,14.4317738686113,80.7601029648338
14,10_15,15_20,12.0253416668757,7.37077608206782,13.1661886410674,76.9803808156866
15,10_15,15_20,12.9352622240757,9.7659124586683,16.0949743495898,97.6231031995842
16,10_15,15_20,9.29306741799492,6.11526898408328,15.0536590343712,97.991939720195
17,10_15,15_20,14.6988510023533,10.7771643241002,17.0768941316282,106.508308760018
18,10_15,15_20,11.0434855762067,9.77735323811618,17.7864677734935,108.197971109176
19,10_15,15_20,9.08751471106784,15.3017103823698,25.233311856597,131.828172209967
20,10_15,15_20,8.61710038556592,9.75142184248638,18.3992755962486,92.7576945458312
21,10_15,15_20,9.9419036297971,7.48323892941038,16.3441899783027,94.3289902216164
22,10_15,15_20,12.0572095054104,8.30381511742972,18.9920405979537,108.106826274304
23,10_15,15_20,11.9028030135501,7.21849476654334,16.4265683920786,101.751386344632
24,10_15,15_20,10.0250354077664,6.49816772537262,16.5251344603733,106.221541343414
25,10_15,15_20,1.1138592352929,8.03337675233122,32.3337515210714,114.871526569495
26,10_15,15_20,1.52596359814058,9.94836355454146,20.8932756133762,61.3163973302
27,10_15,15_20,1.29900519535959,5.01260785770564,12.6946099841801,57.6356572365756
28,10_15,15_20,1.21078898733119,4.8688229977928,12.6434691749315,57.23911079501
29,10_15,15_20,1.07286099059967,6.70101723816642,20.5463023187976,75.8179872931146
30,10_15,15_20,1.4776269022339,17.6858792291035,26.8981060295518,81.8049474952974
31,10_15,15_20,1.00919101123918,5.55107787145328,30.0218641705304,72.2603517497934
32,10_15,15_20,1.3462487768857,6.2510015815684,16.4474356157358,62.7157560042894
33,10_15,15_20,0.875846819804422,5.853856132752,28.7679547230176,88.3965913304822
34,10_15,15_20,1.13667518223929,11.0556991046785,25.4767111705932,73.3764035512406
35,10_15,15_20,1.32070200037691,7.10055823282276,24.582082979282,77.7699677898658
36,10_15,15_20,0.5216637798865,5.67404609857392,15.2724640382194,43.027942437504
37,10_15,15_20,1.00873760077881,6.47064004178562,26.0883740388048,59.3053025861654
38,10_15,15_20,1.0412473663108,6.4778969892107,18.523990593986,62.0233650246306
39,10_15,15_20,1.33414103581796,9.40485583736306,14.0660130125529,58.8724188334556
40,10_15,15_20,1.25395140851051,6.21408094212682,16.5727743930943,54.4707714871642
41,10_15,15_20,1.82946852019056,8.30209287916652,15.9599375354476,61.3564417810038
42,10_15,15_20,1.32993746862683,11.3859338055508,20.389661488538,70.8988716401722
43,10_15,15_20,1.55205424401955,8.12588412055516,32.0183864639922,84.6609409267728
44,10_15,15_20,1.23039049910512,9.56094894565602,14.8485266865821,56.1902021781632
45,10_15,15_20,2.96139533253688,6.89825410195552,14.7024464912154,61.6766951256264
46,10_15,15_20,1.56518938030052,6.25835749675666,15.3423273152919,58.1043163473694
47,10_15,15_20,1.33117584943799,4.46137647070522,16.6454854457616,57.6064621607484
48,10_15,15_20,1.10750447014968,5.19910603668044,12.7372897165285,50.1406342351046
