plot,depth1,depth2,pH.pH
23,0_5,5_10,5.95317029953003
23,10_15,15_20,5.79665565490723
23,20_25,20_30,5.84727430343628
23,40_45,45_50,6.12486791610718
24,0_5,5_10,5.44195508956909
24,10_15,15_20,5.64365768432617
24,20_25,20_30,5.57334899902344
24,40_45,45_50,5.76098442077637
25,0_5,5_10,5.94855690002441
25,10_15,15_20,5.75643157958984
25,20_25,20_30,6.24748039245605
25,40_45,45_50,6.66509532928467
26,0_5,5_10,5.74158811569214
26,10_15,15_20,5.92125511169434
26,20_25,20_30,6.39015817642212
26,40_45,45_50,6.57638263702393
27,0_5,5_10,5.95618867874146
27,10_15,15_20,5.71079778671265
27,20_25,20_30,5.87937116622925
27,40_45,45_50,6.31042194366455
28,0_5,5_10,5.45561408996582
28,10_15,15_20,5.52109336853027
28,20_25,20_30,5.98399353027344
28,40_45,45_50,6.07424688339233
29,0_5,5_10,5.49545955657959
29,10_15,15_20,5.56248426437378
29,20_25,20_30,6.2879786491394
29,40_45,45_50,6.74899244308472
30,0_5,5_10,5.76958608627319
30,10_15,15_20,5.58043909072876
30,20_25,20_30,6.28952264785767
30,40_45,45_50,6.79773664474487
31,0_5,5_10,5.66371870040894
31,10_15,15_20,5.70943784713745
31,20_25,20_30,6.27294969558716
31,40_45,45_50,6.63415479660034
32,0_5,5_10,5.78227233886719
32,10_15,15_20,5.40098762512207
32,20_25,20_30,5.82658386230469
32,40_45,45_50,6.29247093200684
33,0_5,5_10,5.5702977180481
33,10_15,15_20,5.80748653411865
33,20_25,20_30,6.20435810089111
33,40_45,45_50,6.62969970703125
34,0_5,5_10,5.68515777587891
34,10_15,15_20,5.7056884765625
34,20_25,20_30,6.5044732093811
34,40_45,45_50,6.76052284240723
35,0_5,5_10,5.65587759017944
35,10_15,15_20,5.50720691680908
35,20_25,20_30,6.3211030960083
35,40_45,45_50,6.69273710250854
36,0_5,5_10,5.58555316925049
36,10_15,15_20,6.05290842056274
36,20_25,20_30,6.22701501846313
36,40_45,45_50,6.23357486724854
37,0_5,5_10,5.68907499313354
37,10_15,15_20,5.71636581420898
37,20_25,20_30,6.29443550109863
37,40_45,45_50,6.2822413444519
38,0_5,5_10,5.66355466842651
38,10_15,15_20,5.90131616592407
38,20_25,20_30,5.927490234375
38,40_45,45_50,6.37034511566162
39,0_5,5_10,5.68506240844727
39,10_15,15_20,5.55183410644531
39,20_25,20_30,5.70975065231323
39,40_45,45_50,6.32598114013672
40,0_5,5_10,5.85037803649902
40,10_15,15_20,5.44841003417969
40,20_25,20_30,5.50160217285156
40,40_45,45_50,5.68702936172485
41,0_5,5_10,6.07508563995361
41,10_15,15_20,5.49212741851807
41,20_25,20_30,6.06906890869141
41,40_45,45_50,6.63061666488647
42,0_5,5_10,5.66144800186157
